symbol,company_name,as_of_date,layer,stage,rank,score,candidate_source_path,date_verified_documents,date_unverified_documents,rejected_future_documents,web_only_stage,merged_stage,web_only_score,merged_score,promotion_delta
257720,실리콘투,2025-01-01,event_search,0,3,0.0,official_cheap_scan,2,0,1,0,0,0.0,0.0,unchanged
012450,한화에어로스페이스,2025-01-01,event_search,1,4,32.6675,official_cheap_scan,8,0,0,1,1,29.6675,32.6675,unchanged
000660,SK하이닉스,2025-02-01,event_search,1,1,20.08,official_cheap_scan,2,0,1,0,1,0.0,20.08,0_to_1
003230,삼양식품,2025-02-01,event_search,1,2,45.6775,official_cheap_scan,8,0,0,1,1,17.9275,45.6775,unchanged
257720,실리콘투,2025-02-01,event_search,0,3,0.0,official_cheap_scan,2,0,1,0,0,0.0,0.0,unchanged
012450,한화에어로스페이스,2025-02-01,event_search,1,4,32.6675,official_cheap_scan,8,0,0,1,1,29.6675,32.6675,unchanged
062040,산일전기,2025-03-01,event_search,1,1,40.1962,official_cheap_scan,8,0,0,1,1,19.1962,40.1962,unchanged
000660,SK하이닉스,2025-03-01,event_search,1,2,20.08,official_cheap_scan,3,0,0,0,1,0.0,20.08,0_to_1
003230,삼양식품,2025-03-01,event_search,1,3,45.6775,official_cheap_scan,8,0,0,1,1,17.9275,45.6775,unchanged
257720,실리콘투,2025-03-01,event_search,0,4,0.0,official_cheap_scan,3,0,0,0,0,0.0,0.0,unchanged
012450,한화에어로스페이스,2025-03-01,event_search,1,5,32.6675,official_cheap_scan,8,0,0,1,1,29.6675,32.6675,unchanged
062040,산일전기,2025-04-01,event_search,1,1,40.1962,official_cheap_scan,8,0,0,1,1,19.1962,40.1962,unchanged
000660,SK하이닉스,2025-04-01,event_search,0,2,3.0,official_cheap_scan,3,0,0,0,0,0.0,3.0,unchanged
003230,삼양식품,2025-04-01,event_search,1,3,45.6775,official_cheap_scan,8,0,0,1,1,17.9275,45.6775,unchanged
257720,실리콘투,2025-04-01,event_search,0,4,0.0,official_cheap_scan,3,0,0,0,0,0.0,0.0,unchanged
012450,한화에어로스페이스,2025-04-01,event_search,1,5,32.6675,official_cheap_scan,8,0,0,1,1,29.6675,32.6675,unchanged
000660,SK하이닉스,2025-05-01,event_search,0,1,3.0,official_cheap_scan,3,0,0,0,0,0.0,3.0,unchanged
